RESULTS BY CAUSE,,,,,,
Variable,Label,Value Coding,,,,
country_name,Country Name,See below for values.,,,,
region,Region Name,See below for values.,,,,
cause_name,Cause Name,See below for values.,,,,
cause_short,Short Cause Name,See below for values.,,,,
cause_medium,Medium Cause Name,See below for values.,,,,
year,Year,1990; 2010,,,,
age_name,Age Group,Under 5 years; 0-6 days; 7-27 days; 28-364 days; 1-4 years; 5-9 years; 10-14 years; 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39 years; 40-44 years; 45-49 years; 50-54 years; 55-59 years; 60-64 years; 65-69 years; 70-74 years; 75-79 years; 80+ years; All ages; 5-14 years; 15-49 years; 50-69 years; 70+ years; Age-standardized,,,,
sex,Sex,Males; Females; Both sexes,,,,
measure,Measure,daly (Disability Adjusted Life Years); death; yld (Years Lived with Disability); yll (Years of Life Lost),,,,
nm_mean,Number,,,,,
nm_upper,Number - 95% Uncertainty Interval - Upper,,,,,
nm_lower,Number - 95% Uncertainty Interval - Lower,,,,,
pc_mean,Percent,,,,,
pc_upper,Percent - 95% Uncertainty Interval - Upper,,,,,
pc_lower,Percent - 95% Uncertainty Interval - Lower,,,,,
rt_mean,"Rate per 100,000",,,,,
rt_upper,"Rate per 100,000 - 95% Uncertainty Interval - Upper",,,,,
rt_lower,"Rate per 100,000 - 95% Uncertainty Interval - Lower",,,,,
,,,,,,
RESULTS BY RISK FACTOR,,,,,,
Variable,Label,Value Coding,,,,
country_name,Country Name,See below for values.,,,,
region,Region Name,See below for values.,,,,
risk_name,Risk Name,See below for values.,,,,
risk_short,Short Risk Name,See below for values.,,,,
year,Year,1990; 2010,,,,
age_name,Age Group,Under 5 years; 0-6 days; 7-27 days; 28-364 days; 1-4 years; 5-9 years; 10-14 years; 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39 years; 40-44 years; 45-49 years; 50-54 years; 55-59 years; 60-64 years; 65-69 years; 70-74 years; 75-79 years; 80+ years; All ages; 5-14 years; 15-49 years; 50-69 years; 70+ years; Age-standardized,,,,
sex,Sex,Males; Females; Both Sexes,,,,
measure,Measure,daly (Disability Adjusted Life Years); death; yld (Years Lived with Disability); yll (Years of Life Lost),,,,
nm_mean,Number ,,,,,
nm_upper,Number - 95% Uncertainty Interval - Upper,,,,,
nm_lower,Number - 95% Uncertainty Interval - Lower,,,,,
pc_mean,Percent,,,,,
pc_upper,Percent - 95% Uncertainty Interval - Upper,,,,,
pc_lower,Percent - 95% Uncertainty Interval - Lower,,,,,
rt_mean,"Rate per 100,000",,,,,
rt_upper,"Rate per 100,000 - 95% Uncertainty Interval - Upper",,,,,
rt_lower,"Rate per 100,000 - 95% Uncertainty Interval - Lower",,,,,
,,,,,,
VALUES,,,,,,
country_name,region,cause_name,cause_medium,cause_short,risk_name,risk_short
Afghanistan,Global,Total (All Causes),,Total,Unimproved water and sanitation,Water & sanitation
Albania,High-income Asia Pacific,"Communicable, maternal, neonatal, and nutritional disorders",Comm/mater/neonatal/nutr,Group A,Unimproved water source,Unimproved water
Algeria,Western Europe,HIV/AIDS and tuberculosis,HIV/AIDS & tuberculosis,HIV+TB,Unimproved sanitation,Sanitation
Andorra,Australasia,Tuberculosis,Tuberculosis,TB,Ambient particulate matter pollution,Ambient PM pollution
Angola,High-income North America,HIV/AIDS,HIV/AIDS,HIV,Household air pollution from solid fuels,Household air pollution
Antigua and Barbuda,Central Europe,HIV disease resulting in mycobacterial infection,HIV-TB,HIV-TB,Lead exposure,Lead
Argentina,Southern Latin America,HIV disease resulting in other specified or unspecified diseases,HIV (other),Other HIV,Child and maternal undernutrition,Undernutrition
Armenia,Eastern Europe,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",Diarrhea/LRI/other infectious,Diarr+LRI+Oth,Suboptimal breastfeeding,Suboptimal breastfeeding
Australia,East Asia,Diarrheal diseases,Diarrheal diseases,Diarrhea,Childhood underweight,Childhood underweight
Austria,Tropical Latin America,Typhoid and paratyphoid fevers,Typhoid fevers,Typhoid,Iron deficiency,Iron deficiency
Azerbaijan,Central Latin America,Lower respiratory infections,Lower respiratory infections,LRI,Vitamin A deficiency,Vitamin A deficiency
Bahrain,Southeast Asia,Upper respiratory infections,Upper respiratory infections,URI,Zinc deficiency,Zinc deficiency
Bangladesh,Central Asia,Otitis media,Otitis media,Otitis,Tobacco smoking,Smoking
Barbados,Andean latin America,Meningitis,Meningitis,Meningitis,Second-hand smoke,Second-hand smoke
Belarus,North Africa and Middle East,Pneumococcal meningitis,Pneumococcal meningitis,Mng-Pneum,Alcohol and drug use,Alcohol & drug use
Belgium,Caribbean,H influenzae type B meningitis,HiB meningitis,Mng-HiB,Alcohol use,Alcohol use
Belize,South Asia,Meningococcal infection,Meningococcal,Mng-Mening,Drug use,Drug use
Benin,Oceania,Other meningitis,Other meningitis,Oth Mng,Occupational risks,Occupational risks
Bhutan,Southern sub-Saharan Africa,Encephalitis,Encephalitis,Enceph,Occupational carcinogens,Occupational carcinogens
Bolivia,Eastern sub-Saharan Africa,Diphtheria,Diptheria,Diptheria,Occupational asthmagens,Occupational asthmagens
Bosnia and Herzegovina,Central sub-Saharan Africa,Whooping cough,Whooping cough,Whooping,Occupational risk factors for injuries,Occupational injury
Botswana,Western sub-Saharan Africa,Tetanus,Tetanus,Tetanus,Ambient ozone pollution,Ozone
Brazil,,Measles,Measles,Measles,Other environmental risks,Other environmental
Brunei,,Varicella,Varicella,Varicella,High fasting plasma glucose,High fasting plasma glucose
Bulgaria,,Neglected tropical diseases and malaria,NTD & malaria,NTD+Malaria,High total cholesterol,High total cholesterol
Burkina Faso,,Malaria,Malaria,Malaria,High blood pressure,High blood pressure
Burundi,,Leishmaniasis,Leishmaniasis,Leish,High body-mass index,High body-mass index
Cambodia,,Echinococcosis,Echinococcosis,Echino,Dietary risks,Dietary risks
Cameroon,,Trachoma,Trachoma,Trachoma,Diet low in fruits,Low fruit
Canada,,Dengue,Dengue,Dengue,Diet low in vegetables,Low vegetables
Cape Verde,,Rabies,Rabies,Rabies,Diet low in whole grains,Low whole grains
Central African Republic,,Intestinal nematode infections,Intestinal nematode,Nematode,Diet low in nuts and seeds,Low nuts and seeds
Chad,,Ascariasis,Ascariasis,Ascar,Diet low in milk,Low milk
Chile,,Trichuriasis,Trichuriasis,Trichur,Diet high in red meat,High red meat
China,,Hookworm disease,Hookworm,Hookworm,Diet high in processed meat,High processed meat
Colombia,,Food-borne trematodiases,Food-borne trematodiases,FBT,Diet high in sugar-sweetened beverages,High sweetened beverages
Comoros,,Other neglected tropical diseases,Other NTD,Oth NTD,Diet low in fiber,Low fiber
Congo,,Maternal disorders,Maternal disorders,Maternal,Diet low in calcium,Low calcium
Costa Rica,,Maternal hemorrhage,Maternal hemorrhage,M Hem,Diet low in seafood omega-3 fatty acids,Low omega-3
Cote d'Ivoire,,Maternal sepsis,Maternal sepsis,M Sepsis,Diet low in polyunsaturated fatty acids,Low PUFA
Croatia,,Hypertensive disorders of pregnancy,Maternal hypertension,M HTN,Diet high in trans fatty acids,High trans fat
Cuba,,Obstructed labor,Obstructed labor,Obs Labor,Diet high in sodium,High sodium
Cyprus,,Abortion,Abortion,Abortion,"Occupational particulate matter, gases, and fumes",Occupational particulates
Czech Republic,,Other maternal disorders,Other maternal disorders,Oth M,"Tobacco smoking, excluding second-hand smoke",Smoking (excluding SHS)
Democratic Republic of the Congo,,Neonatal disorders,Neonatal disorders,Neonatal,Low bone mineral density,Low bone mineral density
Denmark,,Preterm birth complications,Preterm birth complications,Preterm,Childhood sexual abuse,Childhood sexual abuse
Djibouti,,Neonatal encephalopathy (birth asphyxia and birth trauma),Neonatal encephalopathy,N Enceph,Sexual abuse and violence,Sexual abuse & violence
Dominica,,Sepsis and other infectious disorders of the newborn baby,Neonatal sepsis,N Sepsis,Residential radon,Radon
Dominican Republic,,Other neonatal disorders,Other neonatal disorders,Oth Neo,Physical inactivity and low physical activity,Physical inactivity
Ecuador,,Nutritional deficiencies,Nutritional deficiencies,Nutr Def,Intimate partner violence,Intimate partner violence
Egypt,,Protein-energy malnutrition,Protein-energy malnutrition,PEM,Occupational noise,Occupational noise
El Salvador,,Iodine deficiency,Iodine deficiency,Iodine,Occupational low back pain,Occupational low back pain
Equatorial Guinea,,Vitamin A deficiency,Vitamin A deficiency,Vit A,,
Eritrea,,Iron-deficiency anemia,Iron-deficiency anemia,Iron,,
Estonia,,Other nutritional deficiencies,Other nutritional deficiencies,Oth Nutr,,
Ethiopia,,"Other communicable, maternal, neonatal, and nutritional disorders",Other communicable,Oth Comm,,
Federated States of Micronesia,,Sexually transmitted diseases excluding HIV,STDs (excluding HIV/AIDS),STD,,
Fiji,,Syphilis,Syphilis,Syphilis,,
Finland,,Sexually transmitted chlamydial diseases,Chlamydia,Chlamydia,,
France,,Gonococcal infection,Gonnorhea,Gonnorhea,,
Gabon,,Trichomoniasis,Trichomoniasis,Tricho,,
Georgia,,Other sexually transmitted diseases,Other STDs,Oth STD,,
Germany,,Hepatitis,Hepatitis,Hep,,
