"cause","sex","age","n","rt_upper","rt_lower","rt"
"Non-communicable diseases","Males","0-6 days",1545.74,5914.34,2621.77,3667.16
"Non-communicable diseases","Males","7-27 days",604.939,669.694,355.942,479.521
"Non-communicable diseases","Males","28-364 days",2221.06,170.809,78.7436,110.167
"Non-communicable diseases","Males","1-4 years",1097.66,21.0545,8.41044,12.7853
"Non-communicable diseases","Males","5-9 years",724.224,8.48624,5.73857,6.90758
"Non-communicable diseases","Males","10-14 years",775.439,9.42216,6.43258,7.67775
"Non-communicable diseases","Males","15-19 years",1853.21,22.4774,13.4082,17.269
"Non-communicable diseases","Males","20-24 years",3378.46,40.6592,22.8538,31.0166
"Non-communicable diseases","Males","25-29 years",4559.37,56.8875,31.9999,41.7395
"Non-communicable diseases","Males","30-34 years",5949.71,71.3812,47.6071,58.2197
"Non-communicable diseases","Males","35-39 years",9203.31,109.283,80.28,91.3033
"Non-communicable diseases","Males","40-44 years",17622.3,191.417,154.263,168.649
"Non-communicable diseases","Males","45-49 years",33339.3,319.632,283.043,298.633
"Non-communicable diseases","Males","50-54 years",54383.8,526.589,483.54,502.531
"Non-communicable diseases","Males","55-59 years",71701.8,781.84,740.681,759.18
"Non-communicable diseases","Males","60-64 years",95124,1216.59,1170.88,1190.49
"Non-communicable diseases","Males","65-69 years",103957,1849.79,1793.7,1818.56
"Non-communicable diseases","Males","70-74 years",118188,2874.5,2788.2,2831.01
"Non-communicable diseases","Males","75-79 years",140784,4526.83,4383.03,4459.3
"Non-communicable diseases","Males","80+ years",447619,10965.8,10433.5,10736.7
"Non-communicable diseases","Females","0-6 days",1281.02,5042.05,2324.4,3187.34
"Non-communicable diseases","Females","7-27 days",532.993,593.424,338.245,442.936
"Non-communicable diseases","Females","28-364 days",1881.25,156.543,67.5352,97.7971
"Non-communicable diseases","Females","1-4 years",944.112,17.006,8.6991,11.5172
"Non-communicable diseases","Females","5-9 years",609.754,7.56538,5.01042,6.08193
"Non-communicable diseases","Females","10-14 years",616.667,7.70008,5.35755,6.39285
"Non-communicable diseases","Females","15-19 years",1104.91,13.6006,8.62484,10.8032
"Non-communicable diseases","Females","20-24 years",1799.59,21.4722,14.607,17.418
"Non-communicable diseases","Females","25-29 years",2564.77,28.8897,21.4354,24.878
"Non-communicable diseases","Females","30-34 years",3871.75,44.1862,34.6412,39.2262
"Non-communicable diseases","Females","35-39 years",6698.77,74.0342,61.9548,67.6348
"Non-communicable diseases","Females","40-44 years",12759.5,131.404,114.67,122.71
"Non-communicable diseases","Females","45-49 years",23402.6,216.927,196.107,205.852
"Non-communicable diseases","Females","50-54 years",35818.2,331.167,309.093,319.337
"Non-communicable diseases","Females","55-59 years",49010.3,503.693,479.168,489.91
"Non-communicable diseases","Females","60-64 years",68495.9,807.037,778.066,791.236
"Non-communicable diseases","Females","65-69 years",79543.7,1250.06,1212.09,1229.78
"Non-communicable diseases","Females","70-74 years",97372.8,1979.63,1918.66,1945.21
"Non-communicable diseases","Females","75-79 years",129254,3161.49,3053.68,3108.75
"Non-communicable diseases","Females","80+ years",707351,9864.15,9359.48,9646.22
"Ischemic heart disease","Males","28-364 days",45.4226,4.56895,0.817703,2.25301
"Ischemic heart disease","Males","1-4 years",32.95,0.728594,0.162734,0.383793
"Ischemic heart disease","Males","5-9 years",18.216,0.344581,0.0634024,0.173742
"Ischemic heart disease","Males","10-14 years",26.9093,0.516549,0.0990899,0.266434
"Ischemic heart disease","Males","15-19 years",89.2049,1.56431,0.360127,0.831246
"Ischemic heart disease","Males","20-24 years",181.092,2.85632,0.825559,1.66254
"Ischemic heart disease","Males","25-29 years",331.535,4.67663,1.67293,3.03509
"Ischemic heart disease","Males","30-34 years",638.509,8.9234,3.76816,6.24801
"Ischemic heart disease","Males","35-39 years",1365.57,18.0484,9.01058,13.5474
"Ischemic heart disease","Males","40-44 years",3421.43,41.8975,24.6583,32.7438
"Ischemic heart disease","Males","45-49 years",7377.23,80.6784,53.3675,66.0806
"Ischemic heart disease","Males","50-54 years",12928.6,142.873,102.088,119.466
"Ischemic heart disease","Males","55-59 years",17015,211.995,154.487,180.155
"Ischemic heart disease","Males","60-64 years",22533,324.905,242.998,282.003
"Ischemic heart disease","Males","65-69 years",23723.5,485.974,356.288,415.005
"Ischemic heart disease","Males","70-74 years",27125.6,770.967,572.749,649.752
"Ischemic heart disease","Males","75-79 years",33542.6,1256.77,933.331,1062.46
"Ischemic heart disease","Males","80+ years",127113,3624.51,2684.44,3048.96
"Ischemic heart disease","Females","28-364 days",32.0227,3.49274,0.568802,1.66471
"Ischemic heart disease","Females","1-4 years",29.1917,0.746171,0.129403,0.356109
"Ischemic heart disease","Females","5-9 years",14.7423,0.324276,0.0556716,0.147045
"Ischemic heart disease","Females","10-14 years",16.0006,0.362214,0.0585148,0.165875
"Ischemic heart disease","Females","15-19 years",40.2646,0.86054,0.162041,0.393687
"Ischemic heart disease","Females","20-24 years",75.2132,1.45129,0.292452,0.727981
"Ischemic heart disease","Females","25-29 years",128.06,2.11885,0.612416,1.24217
"Ischemic heart disease","Females","30-34 years",244.036,3.9055,1.37328,2.47241
"Ischemic heart disease","Females","35-39 years",532.897,7.85047,3.15487,5.38045
"Ischemic heart disease","Females","40-44 years",1262.48,16.7373,8.09032,12.1415
"Ischemic heart disease","Females","45-49 years",2579.98,29.6581,17.0706,22.6938
"Ischemic heart disease","Females","50-54 years",4399.79,51.7792,29.4036,39.2262
"Ischemic heart disease","Females","55-59 years",6617.91,90.2775,52.0117,66.1531
"Ischemic heart disease","Females","60-64 years",10342.8,163.011,95.5311,119.476
"Ischemic heart disease","Females","65-69 years",12925.9,282.376,161.614,199.841
"Ischemic heart disease","Females","70-74 years",17754.6,492.932,293.789,354.683
"Ischemic heart disease","Females","75-79 years",26895.2,889.775,539.162,646.87
"Ischemic heart disease","Females","80+ years",201486,3629.25,2309.98,2747.69
"Neurological disorders","Males","28-364 days",114.958,11.3591,2.57387,5.70202
"Neurological disorders","Males","1-4 years",75.1321,1.72494,0.411728,0.875121
"Neurological disorders","Males","5-9 years",49.4163,0.789443,0.285631,0.471328
"Neurological disorders","Males","10-14 years",71.6145,1.19738,0.413745,0.709068
"Neurological disorders","Males","15-19 years",192.593,3.41369,0.935269,1.79466
"Neurological disorders","Males","20-24 years",218.576,3.41546,1.18368,2.00667
"Neurological disorders","Males","25-29 years",182.323,2.70103,1.03832,1.6691
"Neurological disorders","Males","30-34 years",182.257,2.72884,1.13007,1.78344
"Neurological disorders","Males","35-39 years",244.221,3.58139,1.59679,2.42284
"Neurological disorders","Males","40-44 years",399.701,5.63096,2.58732,3.82523
"Neurological disorders","Males","45-49 years",656.66,8.65335,3.927,5.88195
"Neurological disorders","Males","50-54 years",1004.02,13.3397,6.39842,9.2776
